상가업소번호	상호명	지점명	상권업종대분류코드	상권업종대분류명	상권업종중분류코드	상권업종중분류명	상권업종소분류코드	상권업종소분류명	표준산업분류코드	표준산업분류명	시도코드	시도명	시군구코드	시군구명	행정동코드	행정동명	법정동코드	법정동명	지번코드	대지구분코드	대지구분명	지번본번지	지번부번지	지번주소	도로명코드	도로명	건물본번지	건물부번지	건물관리번호	건물명	도로명주소	구우편번호	신우편번호	동정보	층정보	호정보	경도	위도
17464033	채선당	도시락앤샐러드분당정자점	Q	음식	Q07	패스트푸드	Q07A02	도시락전문점	I56111	한식 음식점업	41	경기도	41135	성남시 분당구	4113555000	정자1동	4113510300	정자동	4.11351E+18	1	대지	16	1	경기도 성남시 분당구 정자동 16-1	4.11353E+11	경기도 성남시 분당구 느티로	2		4.11351E+24	AK와이즈플레이스	경기도 성남시 분당구 느티로 2	463847	13557		1		127.1050556	37.36824038
17339505	에이치에스부동산컨설팅		L	부동산	L01	부동산중개	L01A01	부동산중개	L68221	부동산 자문 및 중개업	41	경기도	41111	수원시 장안구	4111157200	정자2동	4111113000	정자동	4.11111E+18	1	대지	82	14	경기도 수원시 장안구 정자동 82-14	4.11114E+11	경기도 수원시 장안구 수성로327번길	12	8	4.11111E+24		경기도 수원시 장안구 수성로327번길 12-8	440834	16311				127.0080191	37.29277591
17469708	규정공라운지		Q	음식	Q01	한식	Q01A01	한식/백반/한정식	I56111	한식 음식점업	41	경기도	41135	성남시 분당구	4113555000	정자1동	4113510300	정자동	4.11351E+18	1	대지	162	4	경기도 성남시 분당구 정자동 162-4	4.11353E+11	경기도 성남시 분당구 정자일로	135		4.11351E+24	정자동3차푸르지오시티	경기도 성남시 분당구 정자일로 135	463867	13560	D	2		127.1056042	37.36197301
17461632	김영희강남동태찜	&코다리냉면	Q	음식	Q03	일식/수산물	Q03A99	수산물전문음식점-종합	I56111	한식 음식점업	41	경기도	41135	성남시 분당구	4113555000	정자1동	4113510300	정자동	4.11351E+18	1	대지	17	1	경기도 성남시 분당구 정자동 17-1	4.11353E+11	경기도 성남시 분당구 느티로	16		4.11351E+24	젤존타워1	경기도 성남시 분당구 느티로 16	463847	13558				127.1062985	37.36815967
17498635	말랑카스테라		Q	음식	Q12	커피점/카페	Q12A01	커피전문점/카페/다방	I56220	비알콜 음료점업	41	경기도	41111	수원시 장안구	4111157300	정자3동	4111113000	정자동	4.11111E+18	1	대지	874	2	경기도 수원시 장안구 정자동 874-2	4.11113E+11	경기도 수원시 장안구 정자천로	187		4.11111E+24	롯데프라자	경기도 수원시 장안구 정자천로 187	440841	16334		1		126.9954385	37.29655347
17453575	한집		Q	음식	Q01	한식	Q01A01	한식/백반/한정식	I56111	한식 음식점업	41	경기도	41111	수원시 장안구	4111157200	정자2동	4111113000	정자동	4.11111E+18	1	대지	70	12	경기도 수원시 장안구 정자동 70-12	4.11114E+11	경기도 수원시 장안구 수성로303번길	25		4.11111E+24	컴퓨터마마드	경기도 수원시 장안구 수성로303번길 25	440833	16313		1		127.0045843	37.29238664
17461201	에이엠피커피		Q	음식	Q12	커피점/카페	Q12A01	커피전문점/카페/다방	I56220	비알콜 음료점업	41	경기도	41135	성남시 분당구	4113554500	정자동	4113510300	정자동	4.11351E+18	1	대지	141	1	경기도 성남시 분당구 정자동 141-1	4.11354E+11	경기도 성남시 분당구 불정로65번길	6		4.11351E+24		경기도 성남시 분당구 불정로65번길 6	463834	13612				127.1118858	37.36058762
17500596	인생에스테틱		F	생활서비스	F01	이/미용/건강	F01A03	비만/피부관리			41	경기도	41135	성남시 분당구	4113554500	정자동	4113510300	정자동	4.11351E+18	1	대지	65	4	경기도 성남시 분당구 정자동 65-4	4.11353E+11	경기도 성남시 분당구 느티로	71		4.11351E+24	현대프라자	경기도 성남시 분당구 느티로 71	463874	13610		2		127.1125683	37.36877456
17483991	푸라닭	치킨수원정자2동점	Q	음식	Q05	닭/오리요리	Q05A08	후라이드/양념치킨	I56193	치킨 전문점	41	경기도	41111	수원시 장안구	4111157200	정자2동	4111113000	정자동	4.11111E+18	1	대지	40	5	경기도 수원시 장안구 정자동 40-5	4.11113E+11	경기도 수원시 장안구 장안로	110		4.11111E+24	평산시티텔	경기도 수원시 장안구 장안로 110	440832	16312		1		127.0010242	37.29379838
17454517	베이커리	분당정자점	Q	음식	Q08	제과제빵떡케익	Q08A01	제과점	I56191	제과점업	41	경기도	41135	성남시 분당구	4113556000	정자2동	4113510300	정자동	4.11351E+18	1	대지	117	1	경기도 성남시 분당구 정자동 117-1	4.11353E+11	경기도 성남시 분당구 내정로	58		4.11351E+24	스포라이프스포츠센타	경기도 성남시 분당구 내정로 58	463833	13607				127.1151262	37.3653516
